state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,261,mon,Urban,19,787,386,401,63,33,30,724,353,371
13,261,mon,Urban,20-24,3708,1884,1824,373,168,205,3335,1716,1619
13,261,mon,Urban,25-29,3176,1634,1542,444,182,262,2732,1452,1280
13,261,mon,Urban,30-34,2551,1323,1228,386,180,206,2165,1143,1022
13,261,mon,Urban,35-39,2189,1186,1003,403,179,224,1786,1007,779
13,261,mon,Urban,40-44,1832,1044,788,377,142,235,1455,902,553
13,261,mon,Urban,45-49,1334,822,512,337,133,204,997,689,308
13,261,mon,Urban,50-54,946,608,338,293,135,158,653,473,180
13,261,mon,Urban,55-59,527,316,211,183,79,104,344,237,107
13,261,mon,Urban,60-64,420,249,171,183,92,91,237,157,80
13,261,mon,Urban,65-69,256,144,112,104,42,62,152,102,50
13,261,mon,Urban,70-74,142,67,75,77,22,55,65,45,20
13,261,mon,Urban,75-79,86,48,38,55,24,31,31,24,7
13,261,mon,Urban,80+,114,51,63,60,15,45,54,36,18
13,261,mon,Urban,Age not stated,27,14,13,8,5,3,19,9,10
13,262,mokokchung,Total,All ages,194622,101092,93530,35128,17613,17515,159494,83479,76015
13,262,mokokchung,Total,0-6,20536,10534,10002,20536,10534,10002,0,0,0
13,262,mokokchung,Total,7,3680,1924,1756,874,469,405,2806,1455,1351
13,262,mokokchung,Total,8,3762,1904,1858,441,220,221,3321,1684,1637
13,262,mokokchung,Total,9,3651,1902,1749,311,163,148,3340,1739,1601
13,262,mokokchung,Total,10,4536,2400,2136,379,195,184,4157,2205,1952
13,262,mokokchung,Total,11,4245,2224,2021,207,119,88,4038,2105,1933
13,262,mokokchung,Total,12,4530,2339,2191,186,104,82,4344,2235,2109
13,262,mokokchung,Total,13,4492,2452,2040,174,103,71,4318,2349,1969
13,262,mokokchung,Total,14,4480,2334,2146,169,103,66,4311,2231,2080
13,262,mokokchung,Total,15,4587,2514,2073,152,85,67,4435,2429,2006
13,262,mokokchung,Total,16,4530,2350,2180,155,95,60,4375,2255,2120
13,262,mokokchung,Total,17,4011,2090,1921,140,88,52,3871,2002,1869
13,262,mokokchung,Total,18,4302,2290,2012,194,132,62,4108,2158,1950
13,262,mokokchung,Total,19,3552,1840,1712,146,96,50,3406,1744,1662
13,262,mokokchung,Total,20-24,18975,9925,9050,896,489,407,18079,9436,8643
13,262,mokokchung,Total,25-29,17374,8895,8479,886,483,403,16488,8412,8076
13,262,mokokchung,Total,30-34,16157,8208,7949,772,417,355,15385,7791,7594
13,262,mokokchung,Total,35-39,14063,7092,6971,872,471,401,13191,6621,6570
13,262,mokokchung,Total,40-44,12399,6416,5983,853,463,390,11546,5953,5593
13,262,mokokchung,Total,45-49,10234,5522,4712,843,444,399,9391,5078,4313
13,262,mokokchung,Total,50-54,8089,4354,3735,787,393,394,7302,3961,3341
13,262,mokokchung,Total,55-59,5785,3092,2693,679,287,392,5106,2805,2301
13,262,mokokchung,Total,60-64,4980,2573,2407,797,298,499,4183,2275,1908
13,262,mokokchung,Total,65-69,3642,1851,1791,755,269,486,2887,1582,1305
13,262,mokokchung,Total,70-74,2892,1470,1422,812,293,519,2080,1177,903
13,262,mokokchung,Total,75-79,2112,1072,1040,752,276,476,1360,796,564
13,262,mokokchung,Total,80+,2863,1438,1425,1334,512,822,1529,926,603
13,262,mokokchung,Total,Age not stated,163,87,76,26,12,14,137,75,62
13,262,mokokchung,Rural,All ages,138897,71373,67524,26286,13066,13220,112611,58307,54304
13,262,mokokchung,Rural,0-6,14907,7649,7258,14907,7649,7258,0,0,0
13,262,mokokchung,Rural,7,2696,1410,1286,623,336,287,2073,1074,999
13,262,mokokchung,Rural,8,2764,1395,1369,328,164,164,2436,1231,1205
13,262,mokokchung,Rural,9,2610,1352,1258,232,126,106,2378,1226,1152
13,262,mokokchung,Rural,10,3327,1782,1545,295,156,139,3032,1626,1406
13,262,mokokchung,Rural,11,2935,1526,1409,152,84,68,2783,1442,1341
13,262,mokokchung,Rural,12,3177,1600,1577,133,72,61,3044,1528,1516
13,262,mokokchung,Rural,13,3088,1653,1435,129,75,54,2959,1578,1381
13,262,mokokchung,Rural,14,3079,1580,1499,127,79,48,2952,1501,1451
13,262,mokokchung,Rural,15,3328,1797,1531,111,60,51,3217,1737,1480
13,262,mokokchung,Rural,16,3164,1625,1539,117,71,46,3047,1554,1493
13,262,mokokchung,Rural,17,2793,1465,1328,103,61,42,2690,1404,1286
13,262,mokokchung,Rural,18,3071,1627,1444,157,105,52,2914,1522,1392
13,262,mokokchung,Rural,19,2563,1322,1241,117,77,40,2446,1245,1201
13,262,mokokchung,Rural,20-24,13253,6856,6397,684,372,312,12569,6484,6085
13,262,mokokchung,Rural,25-29,11608,5770,5838,671,359,312,10937,5411,5526
13,262,mokokchung,Rural,30-34,11173,5604,5569,563,283,280,10610,5321,5289
13,262,mokokchung,Rural,35-39,10005,4931,5074,629,321,308,9376,4610,4766
13,262,mokokchung,Rural,40-44,8996,4596,4400,632,331,301,8364,4265,4099
13,262,mokokchung,Rural,45-49,7371,3912,3459,626,313,313,6745,3599,3146
13,262,mokokchung,Rural,50-54,5857,3121,2736,610,310,300,5247,2811,2436
13,262,mokokchung,Rural,55-59,4209,2229,1980,543,217,326,3666,2012,1654
13,262,mokokchung,Rural,60-64,3786,1947,1839,666,249,417,3120,1698,1422
13,262,mokokchung,Rural,65-69,2730,1370,1360,631,230,401,2099,1140,959
13,262,mokokchung,Rural,70-74,2273,1156,1117,705,259,446,1568,897,671
13,262,mokokchung,Rural,75-79,1686,849,837,646,243,403,1040,606,434
13,262,mokokchung,Rural,80+,2304,1175,1129,1126,455,671,1178,720,458
13,262,mokokchung,Rural,Age not stated,144,74,70,23,9,14,121,65,56
13,262,mokokchung,Urban,All ages,55725,29719,26006,8842,4547,4295,46883,25172,21711
13,262,mokokchung,Urban,0-6,5629,2885,2744,5629,2885,2744,0,0,0
13,262,mokokchung,Urban,7,984,514,470,251,133,118,733,381,352
13,262,mokokchung,Urban,8,998,509,489,113,56,57,885,453,432
13,262,mokokchung,Urban,9,1041,550,491,79,37,42,962,513,449
13,262,mokokchung,Urban,10,1209,618,591,84,39,45,1125,579,546
13,262,mokokchung,Urban,11,1310,698,612,55,35,20,1255,663,592
13,262,mokokchung,Urban,12,1353,739,614,53,32,21,1300,707,593
13,262,mokokchung,Urban,13,1404,799,605,45,28,17,1359,771,588
13,262,mokokchung,Urban,14,1401,754,647,42,24,18,1359,730,629
13,262,mokokchung,Urban,15,1259,717,542,41,25,16,1218,692,526
13,262,mokokchung,Urban,16,1366,725,641,38,24,14,1328,701,627
13,262,mokokchung,Urban,17,1218,625,593,37,27,10,1181,598,583
13,262,mokokchung,Urban,18,1231,663,568,37,27,10,1194,636,558
13,262,mokokchung,Urban,19,989,518,471,29,19,10,960,499,461
13,262,mokokchung,Urban,20-24,5722,3069,2653,212,117,95,5510,2952,2558
13,262,mokokchung,Urban,25-29,5766,3125,2641,215,124,91,5551,3001,2550
13,262,mokokchung,Urban,30-34,4984,2604,2380,209,134,75,4775,2470,2305
13,262,mokokchung,Urban,35-39,4058,2161,1897,243,150,93,3815,2011,1804
13,262,mokokchung,Urban,40-44,3403,1820,1583,221,132,89,3182,1688,1494
13,262,mokokchung,Urban,45-49,2863,1610,1253,217,131,86,2646,1479,1167
13,262,mokokchung,Urban,50-54,2232,1233,999,177,83,94,2055,1150,905
13,262,mokokchung,Urban,55-59,1576,863,713,136,70,66,1440,793,647
13,262,mokokchung,Urban,60-64,1194,626,568,131,49,82,1063,577,486
13,262,mokokchung,Urban,65-69,912,481,431,124,39,85,788,442,346
13,262,mokokchung,Urban,70-74,619,314,305,107,34,73,512,280,232
13,262,mokokchung,Urban,75-79,426,223,203,106,33,73,320,190,130
13,262,mokokchung,Urban,80+,559,263,296,208,57,151,351,206,145
13,262,mokokchung,Urban,Age not stated,19,13,6,3,3,0,16,10,6
13,263,zunheboto,Total,All ages,140757,71217,69540,37876,17713,20163,102881,53504,49377
13,263,zunheboto,Total,0-6,20093,10316,9777,20093,10316,9777,0,0,0
13,263,zunheboto,Total,7,3390,1718,1672,1120,578,542,2270,1140,1130
13,263,zunheboto,Total,8,3501,1827,1674,565,291,274,2936,1536,1400
13,263,zunheboto,Total,9,3305,1649,1656,434,205,229,2871,1444,1427
13,263,zunheboto,Total,10,4039,2076,1963,487,256,231,3552,1820,1732
13,263,zunheboto,Total,11,3754,1947,1807,266,142,124,3488,1805,1683
13,263,zunheboto,Total,12,3902,1996,1906,217,108,109,3685,1888,1797
13,263,zunheboto,Total,13,3547,1774,1773,172,81,91,3375,1693,1682
13,263,zunheboto,Total,14,3522,1824,1698,163,77,86,3359,1747,1612
13,263,zunheboto,Total,15,3728,1855,1873,182,75,107,3546,1780,1766
13,263,zunheboto,Total,16,3626,1807,1819,210,103,107,3416,1704,1712
13,263,zunheboto,Total,17,3130,1574,1556,174,98,76,2956,1476,1480
13,263,zunheboto,Total,18,3453,1733,1720,221,108,113,3232,1625,1607
13,263,zunheboto,Total,19,2777,1413,1364,175,88,87,2602,1325,1277
13,263,zunheboto,Total,20-24,14006,6815,7191,1070,518,552,12936,6297,6639
13,263,zunheboto,Total,25-29,11936,5923,6013,1059,452,607,10877,5471,5406
13,263,zunheboto,Total,30-34,10245,4999,5246,1148,502,646,9097,4497,4600
13,263,zunheboto,Total,35-39,8508,4227,4281,1071,423,648,7437,3804,3633
